TWA/TWS,0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,40
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,0,0.77,1.87,3.28,4.82,5.94,6.93,6.97,7.05,7.22,7.23,6.3,6.32,6.22,6.1,6.12,6.02
41,0,0.8,1.96,3.43,4.99,6.09,7.05,7.09,7.17,7.34,7.5,6.47,6.49,6.39,6.26,6.29,6.18
43,0,0.88,2.14,3.71,5.33,6.66,7.14,7.22,7.33,7.52,7.65,6.79,6.81,6.71,6.57,6.6,6.49
45,0,0.96,2.32,4.01,5.66,6.75,7.18,7.32,7.46,7.66,7.78,7.1,7.1,7.0,7.0,6.9,6.8
50,0,1.19,2.81,4.77,6.36,6.94,7.24,7.48,7.7,7.94,8.07,7.64,7.66,7.64,7.68,7.46,7.36
56,0,1.5,3.47,5.72,6.51,7.1,7.43,7.71,8.0,8.29,8.41,8.22,8.3,8.52,8.53,8.18,8.17
61,0,1.82,4.08,5.98,6.61,7.51,7.8,8.0,8.32,8.62,8.74,8.72,8.86,9.11,9.21,9.02,9.01
66,0,2.2,4.14,6.16,6.85,7.91,8.34,8.43,8.72,9.03,9.17,9.23,9.42,9.71,9.89,9.88,9.86
70,0,2.17,4.18,6.24,7.08,8.23,8.75,8.94,9.13,9.41,9.58,9.66,9.87,10.24,10.46,10.52,10.49
80,0,2.39,4.36,6.19,7.48,9.03,9.69,10.09,10.73,10.7,10.86,10.82,11.23,11.62,11.92,12.21,12.29
90,0,2.56,4.53,6.19,7.92,9.54,10.65,10.91,11.8,12.26,12.57,12.61,12.65,13.03,13.31,13.65,13.87
100,0,2.63,4.71,6.19,8.17,9.82,11.39,11.56,12.43,12.9,13.47,14.03,14.11,14.2,14.35,14.63,14.89
110,0,2.55,4.84,6.16,8.15,9.74,11.85,12.07,12.86,13.41,13.86,14.52,15.01,15.59,15.71,15.83,16.01
120,0,1.72,4.7,6.06,7.99,9.21,11.37,12.3,13.05,13.82,14.56,15.26,15.65,16.09,16.71,17.11,17.07
122,0,1.59,4.59,5.99,7.95,9.12,11.21,12.24,13.03,13.85,14.7,15.42,15.74,16.08,16.75,17.27,17.21
127,0,1.3,3.98,5.69,7.69,8.87,10.73,11.84,12.49,13.87,14.94,15.72,15.86,16.05,16.67,17.26,17.46
130,0,1.15,3.62,5.27,7.41,8.71,10.33,11.54,12.18,13.49,15.0,15.73,15.84,16.01,16.54,16.99,17.52
132,0,1.06,3.38,4.99,7.18,8.62,10.05,11.32,11.95,13.35,15.04,15.69,15.8,15.97,16.45,16.77,17.52
136,0,0.9,2.93,4.42,6.65,8.43,9.48,10.69,11.51,13.06,14.81,15.58,15.7,15.89,16.25,16.43,17.37
137,0,0.86,2.82,4.28,6.51,8.38,9.35,10.52,11.38,12.92,14.73,15.57,15.69,15.86,16.19,16.37,17.31
138,0,0.83,2.71,4.13,6.37,8.34,9.22,10.34,11.23,12.76,14.65,15.52,15.68,15.84,16.14,16.31,17.23
139,0,0.79,2.6,3.99,6.23,8.27,9.1,10.19,11.06,12.6,14.56,15.42,15.68,15.81,16.08,16.25,17.14
140,0,0.75,2.5,3.85,6.09,8.2,8.98,10.05,10.93,12.43,14.42,15.34,15.67,15.79,16.02,16.2,17.04
141,0,0.72,2.39,3.71,5.95,7.53,8.81,9.45,10.78,12.27,14.22,15.2,15.66,15.77,15.97,16.15,16.93
143,0,0.66,2.19,3.43,5.66,7.17,8.46,9.1,10.32,11.95,13.85,14.84,15.61,15.75,15.87,16.06,16.7
145,0,0.6,2.0,3.15,5.38,6.79,8.11,8.74,9.89,11.64,13.5,14.48,15.51,15.7,15.75,16.0,16.49
148,0,0.51,1.73,2.76,4.96,6.21,7.57,8.17,9.23,10.9,12.75,13.32,15.2,15.49,15.56,15.91,16.2
150,0,0.46,1.55,2.5,4.69,5.83,7.21,7.8,8.77,10.38,12.19,12.82,14.51,15.19,15.4,15.76,15.95
153,0,0.39,1.31,2.14,4.31,5.25,6.68,7.25,8.89,10.53,11.28,11.93,13.7,14.49,14.47,15.4,15.53
160,0,0.25,0.81,1.38,3.49,3.98,5.53,6.64,7.2,8.46,9.96,10.4,11.59,12.24,12.43,13.55,13.56
